REGIONE;PROVINCIA;DENOMINAZIONEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONESCUOLA;INDIRIZZOSCUOLA;CAPSCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;SITOWEBSCUOLA
PIEMONTE;TORINO;I.C. SUSA;TOAA880059;I.C. SUSA - CHIOMONTE;VIA ASILO;10050;CHIOMONTE;SCUOLA INFANZIA;TOIC880008@istruzione.it;Non Disponibile;http//istitutocomprensivosusa.it
PIEMONTE;TORINO;I.C. TOMMASEO - TORINO;TOIC815005;I.C. TOMMASEO - TORINO;VIA DEI MILLE 15;10123;TORINO;ISTITUTO COMPRENSIVO;TOIC815005@istruzione.it;toic815005@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;"I.C. TORINO - ""CAIROLI""";TOAA86601V;IC CAIROLI V. ARTOM;VIA ARTOM 109/3;10127;TORINO;SCUOLA INFANZIA;TOIC866002@istruzione.it;Non Disponibile;www.scuolacairoli.gov.it
PIEMONTE;TORINO;"I.C. TORINO - ""GOZZI-OLIVETTI""";TOEE81803R;IC OLIVETTI-GIOVANNI VILLATA;VIA BEATO CAFASSO 73;10132;TORINO;SCUOLA PRIMARIA;TOIC81800L@istruzione.it;Non Disponibile;http//www.gozzi-olivetti.org
PIEMONTE;TORINO;"I.C. TORINO - ""PACINOTTI""";TOEE81701V;I.C. PACINOTTI - BONCOMPAGNI;VIA VIDUA 1;10144;TORINO;SCUOLA PRIMARIA;TOIC81700R@istruzione.it;Non Disponibile;www.icpacinotti.it
PIEMONTE;TORINO;"I.C. TORINO - ""S. PERTINI""";TOAA881022;"I.C.""S. PERTINI"" L.GO LA LOGGIA";LARGO LA LOGGIA 51;10134;TORINO;SCUOLA INFANZIA;TOIC881004@istruzione.it;Non Disponibile;WWW.ICPERTINITORINO.IT
PIEMONTE;TORINO;"I.C. TORINO - ""SALVEMINI""";TOAA82002E;I.C. SALVEMINI - CASTELLO MIR.;STR. CASTELLO DI MIRAFIORI 45;10135;TORINO;SCUOLA INFANZIA;TOIC82000L@istruzione.it;Non Disponibile;http//www.ic-salvemini-torino.it
PIEMONTE;TORINO;I.C. TORINO - CENA;TOIC80500E;I.C. TORINO - CENA;STRADA SAN MAURO 32;10156;TORINO;ISTITUTO COMPRENSIVO;TOIC80500E@istruzione.it;toic80500e@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.C. TORINO - CORSO RACCONIGI;TOEE88402P;I.C. RACCONIGI - BATTISTI;VIA LUSERNA 14;10139;TORINO;SCUOLA PRIMARIA;TOIC88400G@istruzione.it;Non Disponibile;http//www.icracconigi.gov.it/
PIEMONTE;TORINO;I.C. TORINO - KING-MILA;TOEE816013;I.C. KING MILA;VIA DON MURIALDO 9/A;10142;TORINO;SCUOLA PRIMARIA;TOIC816001@istruzione.it;Non Disponibile;www.icking-to.gov.it
PIEMONTE;TORINO;I.C. TORINO - MARCONI-ANTONELLI;TOEE87501V;I.C. MARCONI ANTONELLI;VIA VEZZOLANO 20;10153;TORINO;SCUOLA PRIMARIA;TOIC87500R@istruzione.it;Non Disponibile;htt//icmarconiantonelli.it
PIEMONTE;TORINO;I.C. TORINO - NIGRA;TOEE8A0014;I.C. - NIGRA TORINO - GAMBARO;VIA TALUCCHI 19;10143;TORINO;SCUOLA PRIMARIA;TOIC8A0002@istruzione.it;Non Disponibile;www.nigra-to.it
PIEMONTE;TORINO;I.C. TORINO - P. GEMELLI;TOEE873017;I.C. PADRE GEMELLI;CORSO LOMBARDIA 98;10151;TORINO;SCUOLA PRIMARIA;TOIC873005@istruzione.it;Non Disponibile;www.padregemelli.it
PIEMONTE;TORINO;I.C. TORINO - PALAZZESCHI;TOEE8AY01P;I.C. PALAZZESCHI TO (PRIMARIA);VIA BRISSOGNE 32;10142;TORINO;SCUOLA PRIMARIA;TOIC8AY00L@istruzione.it;Non Disponibile;www.icpalazzeschi.gov.it
PIEMONTE;TORINO;I.C. TORINO - PEYRON;TOEE8A202R;I.C. TO PEYRON -V. VENTIMIGLIA;VIA VENTIMIGLIA 128;10127;TORINO;SCUOLA PRIMARIA;TOIC8A200N@istruzione.it;Non Disponibile;www.icpeyron.gov
PIEMONTE;TORINO;I.C. TORINO - REGIO PARCO;TOAA87702A;I.C. REGIO PARCO MARIA TERESA;VIA MAMELI 18;10152;TORINO;SCUOLA INFANZIA;TOIC87700C@istruzione.it;Non Disponibile;www.icregioparco.gov.it
PIEMONTE;TORINO;I.C. TORINO - UMBERTO SABA;TOIC878008;I.C. TORINO - UMBERTO SABA;VIA LORENZINI 4;10147;TORINO;ISTITUTO COMPRENSIVO;TOIC878008@istruzione.it;toic878008@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.C. TORINO - VIA RICASOLI;TOMM87601N;I.C. VIA RICASOLI-VIA RICASOLI;VIA RICASOLI 15;10153;TORINO;SCUOLA PRIMO GRADO;TOIC87600L@istruzione.it;Non Disponibile;htt//www.ic-viaricasoli-torino.org
PIEMONTE;TORINO;I.C. TORINO - VIA SIDOLI;TOAA88201R;"I.C. SIDOLI - ""FANCIULLI""";VIA CAROLINA INVERNIZIO21;10127;TORINO;SCUOLA INFANZIA;TOIC88200X@istruzione.it;Non Disponibile;http//www.icviasidoli.it
PIEMONTE;TORINO;I.C. TORINO - VITT.DA FELTRE;TOMM8A101V;I.C. VITTORINO DA FELTRE-FERMI;VIA BIGLIERI 19;10126;TORINO;SCUOLA PRIMO GRADO;TOIC8A100T@istruzione.it;Non Disponibile;www.vittorinodafeltre.it
PIEMONTE;TORINO;I.C. TORINO - VIVALDI-MURIALDO;TOMM879015;I.C.VIVALDI MURIALDO - VIVALDI;VIA CASTELDELFINO 24;10147;TORINO;SCUOLA PRIMO GRADO;TOIC879004@istruzione.it;Non Disponibile;www.vivaldi-murialdo.it
PIEMONTE;TORINO;I.C. TORINO II;TOIC8BE00Q;I.C. TORINO II;CORSO GIULIO CESARE 26;10152;TORINO;ISTITUTO COMPRENSIVO;TOIC8BE00Q@istruzione.it;TOIC8BE00Q@PEC.ISTRUZIONE.IT;Non Disponibile
PIEMONTE;TORINO;I.C. TORRE PELLICE;TOAA81303C;I.C.TORRE PELLICE-VILLAR PELLIC;V.LE PRIMO MAGGIO;10060;VILLAR PELLICE;SCUOLA INFANZIA;TOIC81300D@istruzione.it;Non Disponibile;www.icrodari.it
PIEMONTE;TORINO;I.C. TRANA;TOMM86902G;I.C. TRANA;VIA ALIGHIERI 3/B;10090;TRANA;SCUOLA PRIMO GRADO;TOIC86900D@istruzione.it;Non Disponibile;www.ictrana.gov.it
PIEMONTE;TORINO;I.C. TROFARELLO;TOAA83204V;I.C. TROFARELLO LA PACE INFANZ.;VIA XXIV MAGGIO 48;10028;TROFARELLO;SCUOLA INFANZIA;TOIC83200V@istruzione.it;Non Disponibile;www.ictrofarello.gov
PIEMONTE;TORINO;I.C. UGO FOSCOLO;TOMM8B601L;I.C. FOSCOLO - FOSCOLO TO;VIA PIAZZI 57;10129;TORINO;SCUOLA PRIMO GRADO;TOIC8B600G@istruzione.it;Non Disponibile;http//www.icalberti.gov.it
PIEMONTE;TORINO;I.C. VALPERGA;TOMM8CB01X;I.C. VALPERGA - A. ARNULFI;PIAZZA F. PASTORE 6;10087;VALPERGA;SCUOLA PRIMO GRADO;TOIC8CB00V@istruzione.it;Non Disponibile;http//www.mediantonelli.gov.it/
PIEMONTE;TORINO;I.C. VENARIA I;TOAA8A303C;"I.C. VENARIA I-""DE AMICIS""";PIAZZA VITTORIO VENETO 2;10078;VENARIA REALE;SCUOLA INFANZIA;TOIC8A300D@istruzione.it;Non Disponibile;www.icvenaria1.gov.it
PIEMONTE;TORINO;I.C. VENARIA II;TOAA8A4016;I.C. VENARIA II - GRAMSCI;VIA MOTRASSINO 10;10078;VENARIA REALE;SCUOLA INFANZIA;TOIC8A4009@istruzione.it;Non Disponibile;www.icvenaria2.it
PIEMONTE;TORINO;I.C. VEROLENGO;TOEE85403X;I.C. VEROLENGO - CAP.;VIA THAON DI REVEL 9;10038;VEROLENGO;SCUOLA PRIMARIA;TOIC85400Q@istruzione.it;Non Disponibile;www.icverolengo.gov.it
PIEMONTE;TORINO;I.C. VIA COLLINO - TORINO;TOEE8BX02E;"I.C. VIA COLLINO - "" VIDARI""";VIA SAN REMO 46;10137;TORINO;SCUOLA PRIMARIA;TOIC8BX00B@istruzione.it;Non Disponibile;http//www.scuola-parri-to.gov.it/
PIEMONTE;TORINO;I.C. VIGONE;TOEE84702Q;I.C. VIGONE - CERCENASCO;VIA XX SETTEMBRE 28;10060;CERCENASCO;SCUOLA PRIMARIA;TOIC84700L@istruzione.it;Non Disponibile;www.icvigone.gov.it
PIEMONTE;TORINO;I.C. VILLAR PEROSA;TOEE80404X;I.C.VILLAR PEROSA-S.GERMANO CHI;P.ZZA MARTIRI LIBERTA' 4;10065;SAN GERMANO CHISONE;SCUOLA PRIMARIA;TOIC80400P@istruzione.it;Non Disponibile;www.scuolamarro.it
PIEMONTE;TORINO;I.C. VINOVO;TOAA87401T;I.C. VINOVO;VIA GARIBALDI 3/B;10048;VINOVO;SCUOLA INFANZIA;TOIC874001@istruzione.it;Non Disponibile;htt//scuolevinovo.gov.it
PIEMONTE;TORINO;I.C. VISTRORIO;TOEE80601C;I.C. VISTRORIO LORANZE';VIA IVREA 6;10010;LORANZE';SCUOLA PRIMARIA;TOIC80600A@istruzione.it;Non Disponibile;www.icvistrorio.gov.it
PIEMONTE;TORINO;I.C. VOLPIANO;TOAA8BH025;"I.C. VOLPIANO- ""ACQUERELLO""";VIA LOMBARDORE 10;10088;VOLPIANO;SCUOLA INFANZIA;TOIC8BH007@istruzione.it;Non Disponibile;WWW.ICVOLPIANO.GOV.IT
PIEMONTE;TORINO;I.C. VOLVERA;TOIC83800T;I.C. VOLVERA;VIA GARIBALDI 1;10040;VOLVERA;ISTITUTO COMPRENSIVO;TOIC83800T@istruzione.it;toic83800t@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.I.S. 25 APRILE - FACCIO;TORC02601P;25-apr;VIA XXIV MAGGIO 11;10082;CUORGNE';IST PROF PER I SERVIZI COMMERCIALI E TURISTICI;TOIS02600Q@istruzione.it;Non Disponibile;http//www.istituto25aprile.gov.it
PIEMONTE;TORINO;I.I.S. 8 MARZO;TOTD03101D;08-mar;VIA LEINI' 54;10036;SETTIMO TORINESE;ISTITUTO TECNICO COMMERCIALE;TOIS031007@istruzione.it;Non Disponibile;www.istituto8marzo.gov.it
PIEMONTE;TORINO;I.I.S. A. AVOGADRO;TOTF051011;A.AVOGADRO;CORSO SAN MAURIZIO8;10124;TORINO;ISTITUTO TECNICO INDUSTRIALE;TOIS05100C@istruzione.it;Non Disponibile;www.itisavogadro.it
PIEMONTE;TORINO;I.I.S. A. MORO;TOTF00401B;A. MORO;VIA GALLO PECCA 4/6;10086;RIVAROLO CANAVESE;ISTITUTO TECNICO INDUSTRIALE;TOIS00400V@istruzione.it;Non Disponibile;www.istitutomoro.it
PIEMONTE;TORINO;I.I.S. AMALDI - SRAFFA;TOIS016005;I.I.S. AMALDI - SRAFFA;VIA F.LLI ROSSELLI 35;10043;ORBASSANO;ISTITUTO SUPERIORE;TOIS016005@istruzione.it;tois016005@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.I.S. B. PASCAL;TOTD05701N;B. PASCAL;VIA CARDUCCI 4;10094;GIAVENO;ISTITUTO TECNICO COMMERCIALE;TOIS05700B@istruzione.it;Non Disponibile;www.pascalgiaveno.it
PIEMONTE;TORINO;I.I.S. B. VITTONE;TOTA028017;B. VITTONE (TECNICO AGRARIO);STRADA PECETTO 34/H;10023;CHIERI;ISTITUTO TECNICO AGRARIO;TOIS02800B@istruzione.it;Non Disponibile;www.istitutovittone.gov.it
PIEMONTE;TORINO;I.I.S. BALDESSANO-ROCCATI;TOIS008006;I.I.S. BALDESSANO-ROCCATI;VIALE GARIBALDI 7;10022;CARMAGNOLA;ISTITUTO SUPERIORE;TOIS008006@istruzione.it;tois008006@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.I.S. C. UBERTINI;TORA00650V;IIS C. UBERTINI SEZ AGRARIA SERALE;PIAZZA MAZZINI 5;10014;CALUSO;IST PROF PER L'AGRICOLTURA E L'AMBIENTE;TOIS00600E@istruzione.it;Non Disponibile;www.iisubertini.gov.it
PIEMONTE;TORINO;I.I.S. C.I. GIULIO;TORC05402X;IPSC GIULIO - SEZ. CARCERE;Non Disponibile;Non Disponibile;TORINO;IST PROF PER I SERVIZI COMMERCIALI;TOIS05400X@ISTRUZIONE.IT;Non Disponibile;www.istitutogiulio.it
PIEMONTE;TORINO;I.I.S. CURIE - LEVI;TOIS067002;I.I.S. CURIE - LEVI;VIA TORINO 9;10093;COLLEGNO;ISTITUTO SUPERIORE;TOIS067002@istruzione.it;TOIS067002@PEC.ISTRUZIONE.IT;Non Disponibile
PIEMONTE;TORINO;I.I.S. CURIE - VITTORINI;TOTL03401B;I.I.S CURIE-VITTORINI;C.SO ALLAMANO130;10095;GRUGLIASCO;ISTITUTO TECNICO PER GEOMETRI;TOIS03400P@istruzione.it;Non Disponibile;www.itgguarini.it
PIEMONTE;TORINO;I.I.S. E. DA ROTTERDAM;TOTD03601L;ERASMO DA ROTTERDAM;VIA XXV APRILE 139;10042;NICHELINO;ISTITUTO TECNICO COMMERCIALE;TOIS03600A@istruzione.it;Non Disponibile;www.erasmonichelino.edu.it
PIEMONTE;TORINO;I.I.S. E. FERRARI;TORI017501;E. FERRARI - IPSIA SERALE;CORSO L. COUVERT 21;10059;SUSA;IST PROF INDUSTRIA E ARTIGIANATO;TOIS017001@istruzione.it;Non Disponibile;www.ferrarisusa.gov.it
PIEMONTE;TORINO;I.I.S. E. MAJORANA;TOTD003019;E. MAJORANA;C.SO TAZZOLI209;10137;TORINO;ISTITUTO TECNICO COMMERCIALE;TOIS003003@istruzione.it;Non Disponibile;www.majoranatorino.it
PIEMONTE;TORINO;I.I.S. E. MAJORANA;TOIS032003;I.I.S. E. MAJORANA;VIA ADA NEGRI 14;10024;MONCALIERI;ISTITUTO SUPERIORE;TOIS032003@istruzione.it;tois032003@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.I.S. EUROPA UNITA;TOIS02700G;I.I.S. EUROPA UNITA;VIA MARCONI6;10034;CHIVASSO;ISTITUTO SUPERIORE;TOIS02700G@istruzione.it;tois02700g@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.I.S. F. ALBERT;TOIS023008;I.I.S. F. ALBERT;VIA TESSO 7;10074;LANZO TORINESE;ISTITUTO SUPERIORE;TOIS023008@istruzione.it;tois023008@pec.istruzione.it;www.istituto-albert.it
PIEMONTE;TORINO;I.I.S. G. CENA;TOIS024004;I.I.S. G. CENA;VIA DORA BALTEA 3;10015;IVREA;ISTITUTO SUPERIORE;TOIS024004@istruzione.it;tois024004@pec.istruzione.it;iiscena.it
PIEMONTE;TORINO;I.I.S. G. DALMASSO;TOIS06300P;I.I.S. G. DALMASSO;VIA CLAVIERE10;10044;PIANEZZA;ISTITUTO SUPERIORE;TOIS06300P@istruzione.it;TOIS06300P@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.I.S. G. FERRARIS;TORI01951N;I.I.S. G. FERRARIS SERALE;VIA DON GNOCCHI 2;10036;SETTIMO TORINESE;IST PROF INDUSTRIA E ARTIGIANATO;TOIS01900L@istruzione.it;Non Disponibile;www.iis-ferraris.it
PIEMONTE;TORINO;I.I.S. G. GIOLITTI;TOIS04200N;I.I.S. G. GIOLITTI;VIA ALASSIO 20;10126;TORINO;ISTITUTO SUPERIORE;TOIS04200N@istruzione.it;tois04200n@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.I.S. G. NATTA;TOTF05950X;IST. TECN IND. G. NATTA;VIA XX SETTEMBRE 14/A;10098;RIVOLI;ISTITUTO TECNICO INDUSTRIALE;TOIS059003@istruzione.it;Non Disponibile;www.itisgiulionatta.it
PIEMONTE;TORINO;I.I.S. G. PEANO;TOPS06101D;G. PEANO;CORSO VENEZIA 29;10147;TORINO;LICEO SCIENTIFICO;TOIS061003@istruzione.it;Non Disponibile;www.peano.it
PIEMONTE;TORINO;I.I.S. GALILEI - FERRARI;TORI04702D;G. GALILEI;VIA LAVAGNA 8;10126;TORINO;IST PROF INDUSTRIA E ARTIGIANATO;TOIS04700R@istruzione.it;Non Disponibile;www.galileiferrari.it
PIEMONTE;TORINO;I.I.S. I. PORRO;TOTD01402R;I. PORRO;VIALE KENNEDY 30;10064;PINEROLO;ISTITUTO TECNICO COMMERCIALE;TOIS01400D@istruzione.it;Non Disponibile;www.alberti-porro.gov.it
PIEMONTE;TORINO;I.I.S. J.C. MAXWELL;TOPS041018;J.C. MAXWELL;VIA XXV APRILE 141;10042;NICHELINO;LICEO SCIENTIFICO;TOIS04100T@istruzione.it;Non Disponibile;www.jcmaxwell.it
PIEMONTE;TORINO;I.I.S. L. DES AMBROIS;TOIS00100B;I.I.S. L. DES AMBROIS;VIA M. L. KING 10;10056;OULX;ISTITUTO SUPERIORE;TOIS00100B@istruzione.it;tois00100b@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.I.S. MICHELE BUNIVA;TOSL038019;LICEO ARTISTICO BUNIVA;VIA DEI ROCHIS 25;10064;PINEROLO;LICEO ARTISTICO;TOIS038002@istruzione.it;Non Disponibile;www.buniva.edu.it
PIEMONTE;TORINO;I.I.S. OLIVETTI;TORC01201R;I.P.S.COMM. M. OLIVETTI;COLLE BELLAVISTA;10015;IVREA;IST PROF PER I SERVIZI COMMERCIALI E TURISTICI;TOIS01200T@istruzione.it;Non Disponibile;www.istitutoolivetti.it
PIEMONTE;TORINO;I.I.S. P. BOSELLI;TOIS052008;I.I.S. P. BOSELLI;VIA MONTECUCCOLI 12;10121;TORINO;ISTITUTO SUPERIORE;TOIS052008@istruzione.it;tois052008@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;I.I.S. P. MARTINETTI;TOTN039012;MARTINETTI-TURISMO-CHIMICO MAT BIOTECN;VIA MONTELLO 29;10014;CALUSO;ISTITUTO TECNICO PER IL TURISMO;TOIS03900T@istruzione.it;Non Disponibile;www.liceomartinetti.it
PIEMONTE;TORINO;I.I.S. PRIMO LEVI;TOTF043012;ISTITUTO TECNICO PRIMO LEVI;CORSO UNIONE SOVIETICA 490;10135;TORINO;ISTITUTO TECNICO INDUSTRIALE;TOIS04300D@istruzione.it;Non Disponibile;www.iisprimolevi.it
PIEMONTE;TORINO;I.I.S. R. ZERBONI;TORI048018;R. ZERBONI;VIA P. DELLA CELLA 3;10148;TORINO;IST PROF INDUSTRIA E ARTIGIANATO;TOIS04800L@istruzione.it;Non Disponibile;IISZerboni
PIEMONTE;TORINO;I.I.S. SANTORRE DI SANTAROSA;TOTE058011;SANTORRE DI SANTAROSA;CORSO PESCHIERA 230;10139;TORINO;ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF);TOIS058007@istruzione.it;Non Disponibile;www.santorre.it
PIEMONTE;TORINO;I.I.S. SELLA AALTO LAGRANGE;TOTL037507;I.I.S. SELLA-AALTO-LAGRANGE SERALE;VIA BRACCINI 11;10141;TORINO;ISTITUTO TECNICO PER GEOMETRI;TOIS037006@istruzione.it;Non Disponibile;www.itgalvaraalto.it
PIEMONTE;TORINO;I.I.S. T. D'ORIA;TOTF00701V;T. D'ORIA;VIA PREVER13;10073;CIRIE';ISTITUTO TECNICO INDUSTRIALE;TOIS00700A@istruzione.it;Non Disponibile;www.iisdoria.gov.it
PIEMONTE;TORINO;I.I.S. V. BOSSO - A. MONTI;TORC053013;V. BOSSO - A. MONTI;VIA MEUCCI9;10121;TORINO;IST PROF PER I SERVIZI COMMERCIALI E TURISTICI;TOIS053004@istruzione.it;Non Disponibile;htpp//www.bossomonti.it
PIEMONTE;TORINO;I.P.S. J. B. BECCARI;TORH02950Q;I.P.S. J. B. BECCARI;VIA PAGANINI 22;10154;TORINO;IST PROF ALBERGHIERO;TOIS029007@istruzione.it;Non Disponibile;www.istitutobeccari.gov.it
PIEMONTE;TORINO;IC CEFALONIA-MAZZINI;TOEE8B001P;IC CEFALONIA-MAZZINI CAP;C.SO ORBASSANO155;10136;TORINO;SCUOLA PRIMARIA;TOIC8B000L@istruzione.it;Non Disponibile;http//sc28586.argo203-onyx.com/
PIEMONTE;TORINO;IC CUORGNE';TOIC8CC00P;IC CUORGNE';VIA XXIV MAGGIO 3;10082;CUORGNE';ISTITUTO COMPRENSIVO;TOIC8CC00P@istruzione.it;TOIC8CC00P@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;IC MATTEOTTI - PELLICO;TOAA8B901X;IC MATTEOTTI - PELLICO - BORG.;CORSO SICILIA 24;10133;TORINO;SCUOLA INFANZIA;TOIC8B9003@istruzione.it;Non Disponibile;http//WWW.SCUOLAFRASSATITORINO.GOV.IT
PIEMONTE;TORINO;"IC S.ANTONINO SUSA ""CENTOPASSI""";TOAA82401R;"IC S.ANTONINO SUSA ""CENTOPASSI""";VIALE IV NOVEMBRE 10;10050;SANT'ANTONINO DI SUSA;SCUOLA INFANZIA;TOIC82400X@istruzione.it;Non Disponibile;http//icsantantonino.gov.it
PIEMONTE;TORINO;IIS COPERNICO-LUXEMBURG;TOPS064011;N. COPERNICO;CORSO CAIO PLINIO2;10127;TORINO;LICEO SCIENTIFICO;TOIS06400E@istruzione.it;Non Disponibile;www.copernicoluxemburg.gov.it
PIEMONTE;TORINO;IPSIA DALMAZIO BIRAGO;TORI04000L;IPSIA DALMAZIO BIRAGO;CORSO NOVARA65;10154;TORINO;IST PROF INDUSTRIA E ARTIGIANATO;TORI04000L@istruzione.it;tori04000l@pec.istruzione.it;www.ipsiabirago.it
PIEMONTE;TORINO;ISTITUTO COMPRENSI NICHELINO IV;TOIC8BF00G;ISTITUTO COMPRENSI NICHELINO IV;P.ZZA MORO 1;10042;NICHELINO;ISTITUTO COMPRENSIVO;TOIC8BF00G@istruzione.it;TOIC8BF00G@PEC.ISTRUZIONE.IT;Non Disponibile
PIEMONTE;TORINO;ISTITUTO COMPRENSIVO GABELLI;TOMM8B8018;I.C. GABELLI - VIA SCARLATTI;VIA SCARLATTI 13;10154;TORINO;SCUOLA PRIMO GRADO;TOIC8B8007@istruzione.it;Non Disponibile;http//www.icalberti.gov.it
PIEMONTE;TORINO;ITC G. SOMMEILLER;TOTD09050N;G. SOMMEILLER SERALE;CORSO DUCA DEGLI ABRUZZI 20;10129;TORINO;ISTITUTO TECNICO COMMERCIALE;TOTD090008@istruzione.it;Non Disponibile;https//www.itcsommeiller.edu.it/index.php
PIEMONTE;TORINO;JUVARRA CON ANNESSA SEZ. CLASSICA;TOPS30000G;JUVARRA CON ANNESSA SEZ. CLASSICA;VIA BUOZZI 16;10078;VENARIA REALE;LICEO SCIENTIFICO;TOPS30000G@istruzione.it;tops30000g@pec.istruzione.it;http//www.liceojuvarra.it/
PIEMONTE;TORINO;LC V. ALFIERI;TOPC10000P;LC V. ALFIERI;CORSO DANTE 80;10126;TORINO;LICEO CLASSICO;TOPC10000P@istruzione.it;topc10000p@pec.istruzione.it;www.liceoalfieri.it
PIEMONTE;TORINO;LICEO ARTISTICO PRIMO;TOSL01050T;LICEO ARTISTICO PRIMO - SERALE;VIA CARCANO 31;10153;TORINO;LICEO ARTISTICO;TOSL01000C@istruzione.it;Non Disponibile;www.primoart.it
PIEMONTE;TORINO;"LICEO ARTISTICO STATALE""R.COTTINI""";TOSL02050C;L.A. R. COTTINI SERALE;VIA CASTELGOMBERTO2O;10137;TORINO;LICEO ARTISTICO;TOSL020003@istruzione.it;Non Disponibile;www.liceocottini.it
PIEMONTE;TORINO;LICEO CLASSICO E MUSICALE C. CAVOUR;TOPC01000C;LICEO CLASSICO E MUSICALE C. CAVOUR;CORSO TASSONI 15;10143;TORINO;LICEO CLASSICO;TOPC01000C@istruzione.it;topc01000c@pec.istruzione.it;www.lcavour.gov.it
PIEMONTE;TORINO;"LICEO CLASSICO STATALE ""CARLO BOTTA""";TOPC020003;"LICEO CLASSICO STATALE ""CARLO BOTTA""";CORSO RE UMBERTO N.37;10015;IVREA;LICEO CLASSICO;TOPC020003@istruzione.it;topc020003@pec.istruzione.it;www.liceobotta.it
PIEMONTE;TORINO;LS P. GOBETTI;TOPS340002;LS P. GOBETTI;VIA MARIA VITTORIA 39 BIS;10123;TORINO;LICEO SCIENTIFICO;TOPS340002@istruzione.it;tops340002@pec.istruzione.it;http//www.lsgobettitorino.gov.it
PIEMONTE;TORINO;M. CURIE;TOPS070007;M. CURIE;VIA DEI ROCHIS12;10064;PINEROLO;LICEO SCIENTIFICO;TOPS070007@istruzione.it;tops070007@pec.istruzione.it;www.curiepinerolo.gov.it
PIEMONTE;TORINO;M. D'AZEGLIO;TOPC070004;M. D'AZEGLIO;VIA PARINI8;10121;TORINO;LICEO CLASSICO;TOPC070004@istruzione.it;topc070004@pec.istruzione.it;www.liceomassimodazeglio.it
PIEMONTE;TORINO;MAGAROTTO;TORS010007;MAGAROTTO;VIA MONTE CORNO 34;10127;TORINO;IST PROF INDUSTRIA E ARTIGIANATO PER SORDOMUTI;TORS010007@istruzione.it;Non Disponibile;www.isiss-magarotto.gov.it/torino
PIEMONTE;TORINO;N. ROSA;TOPC08000P;N. ROSA;PIAZZA SAVOIA19;10059;SUSA;LICEO CLASSICO;TOPC08000P@istruzione.it;topc08000p@pec.istruzione.it;www.liceonorbertorosa.gov.it
PIEMONTE;TORINO;NORBERTO BOBBIO;TOIS03300V;NORBERTO BOBBIO;VIA VALDOCCO 23;10041;CARIGNANO;ISTITUTO SUPERIORE;TOIS03300V@istruzione.it;tois03300v@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;O. ROMERO;TORC02101G;O. ROMERO;VIALE PAPA GIOVANNI XXIII 25;10098;RIVOLI;IST PROF PER I SERVIZI COMMERCIALI E TURISTICI;TOIS02100L@istruzione.it;Non Disponibile;http//www.romero.gov.it
PIEMONTE;TORINO;OULX - DES AMBROIS;TOMM180028;BARDONECCHIA - P.ZZA DE GASPERI;PIAZZA A. DE GASPERI 3;10052;BARDONECCHIA;SCUOLA PRIMO GRADO;TOMM180006@istruzione.it;Non Disponibile;www.desambrois.it
PIEMONTE;TORINO;PREVER;TOIS044009;PREVER;VIA CARLO MERLO 2;10064;PINEROLO;ISTITUTO SUPERIORE;TOIS044009@istruzione.it;tois044009@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;REGINA MARGHERITA;TOPM050003;REGINA MARGHERITA;VIA VALPERGA CALUSO 12;10125;TORINO;ISTITUTO MAGISTRALE;TOPM050003@istruzione.it;topm050003@pec.istruzione.it;www.istitutoreginamargherita.it
PIEMONTE;TORINO;RH G. COLOMBATTO;TORH010009;RH G. COLOMBATTO;VIA GORIZIA 7;10136;TORINO;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;TORH010009@istruzione.it;torh010009@pec.istruzione.it;www.ipcolombatto.gov.it
PIEMONTE;TORINO;RUSSELL - MORO - GUARINI;TOIS06800T;RUSSELL - MORO - GUARINI;CORSO MOLISE 58;10151;TORINO;ISTITUTO SUPERIORE;TOIS06800T@istruzione.it;TOIS06800T@pec.istruzione.it;Non Disponibile
PIEMONTE;TORINO;"SCUOLA ""A. SPINELLI""";TOPS270001;"SCUOLA ""A. SPINELLI""";VIA FIGLIE DEI MILITARI 25;10131;TORINO;LICEO SCIENTIFICO;TOPS270001@istruzione.it;tops270001@pec.istruzione.it;www.istitutoaltierospinelli.eu
